scraped_at,created_at,username,comment,likes
2025-12-10T14:28:01,2025-12-07T21:27:36,al_wan1010,Emang asu ini orang,0
2025-12-10T14:28:01,2025-12-07T21:27:08,pramdyw_,"Seng iso nyantet po o , isenino abri sak kompi weteng e  kongkon yel yel trs an 😢",0
2025-12-10T14:28:01,2025-12-07T21:26:19,mr.lasinggi15,Hahahahah lucu Lo bang satπ!@,0
2025-12-10T14:28:01,2025-12-07T21:25:15,sophiayemima,Pak😭 semoga kamu ga ngerasain apa yg mereka di sumatera rasain.. jangan smpe pak😭 anda ga punya hati nurani lg apa gmna. Mrka byk kehilangam keluarga. Dan bisa2nya keadaan bgni ga mikirin mereka😭,0
2025-12-10T14:28:01,2025-12-07T21:21:40,kiyat_kapayuna,"andaa mau melawan rakyat , atau rakyat udah GK di anggap amaaa pejabat .. ok pikirkan secara logikaa  dampak nya kuat mana  rakyat apa anda @bahlillahadalia",0
2025-12-10T14:28:01,2025-12-07T21:21:24,aisyah.ysrnn,makin gaberes,0
2025-12-10T14:28:01,2025-12-07T21:21:23,algaaaaae,Salah satu tanda akhir zaman,0
2025-12-10T14:28:01,2025-12-07T21:20:10,rikisetwaan,💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩,0
2025-12-10T14:28:01,2025-12-07T21:19:59,roes_rusmanto,Muak bgt,0
2025-12-10T14:28:01,2025-12-07T21:19:51,diana_sigulangbatu,Partai politik biadab bajingan menggadaikan hutan untuk biaya politik,0
2025-12-10T14:28:01,2025-12-07T21:18:26,rissarahmania22,"Iko yg nyo sabuik, IPK ny randah tapi ny bisa jadi Mentri... nampak kan kualitas dirinyo",0
2025-12-10T14:28:01,2025-12-07T21:17:07,ekaka.s1,@ibnuptra__ @hikeenz @abcanstyaaa_ kata²😂,0
2025-12-10T14:28:01,2025-12-07T21:16:32,mbakghaaaa,Ngerti lagi banyak bencana gak sih dia??? Hati nuraninya dimana sih,0
2025-12-10T14:28:01,2025-12-07T21:15:09,vidyanfeb,Sumpah ini gak ada yg mau noyor kepala nya?,0
2025-12-10T14:28:01,2025-12-07T21:14:23,abay_474,NEPALKAANNNN 😡,0
2025-12-10T14:28:01,2025-12-07T21:13:44,dianardianto649,tolol DPRD kan semua penjahat wkwkwkwkw penjahat pilih penjahat 😂,0
2025-12-10T14:28:01,2025-12-07T21:13:08,cvsinarseroja,😂😂😂😂😂,0
2025-12-10T14:28:01,2025-12-07T21:10:17,galangharunn_,"SELESAI SUDAH. Nepotisme besar² an akan mungkin bisa terjadi, potensi terstruktur nya oligarki lokal, cawe cawe, korupsi, pejabat seperti PURBAYA tidak akan ada lagi. Jokowi akan semakin aman",0
2025-12-10T14:28:01,2025-12-07T21:07:46,self_idz,"Panjang umur lah pak, sehat selalu ya, udah capek ngehujat gua",0
2025-12-10T14:28:01,2025-12-07T21:04:20,99andriasmoro,Kerjo ga genah usal usul aee....,0
2025-12-10T14:28:01,2025-12-07T21:03:58,restuuprsy_19,Gobloggg ngntddd bocah pukiii,0
2025-12-10T14:28:01,2025-12-07T21:02:28,i.shineonyou_,,1
2025-12-10T14:28:01,2025-12-07T20:59:20,yukarstorebandung,rakyat tuh d atas kalian monyet,0
2025-12-10T14:28:01,2025-12-07T20:58:27,f.alfrizi,Otak udang,0
2025-12-10T14:28:01,2025-12-07T20:57:28,ivanayolanda96,"Ntek, ado se berita buek den naiak batih tarui kanccccc. Muak den muaaaakkk. Tolong lah lai Ya Allah, agiah jo lah musibah ka meraka nan dzolim tu aaa. Ko kami nan rakyat ko, ka sampai bilo digikoan tarui ko. Allahu Akbar. TAKBIR!!!! Yo lah litak den so nyo.",0
2025-12-10T14:28:01,2025-12-07T20:57:15,onaddodin_,Ih comel nya opet Ireng Konoha,0
2025-12-10T14:28:01,2025-12-07T20:57:02,alventini_hachi,"Ga presidennya ga menterinya ada aja gebrakannya yg bikin rakyat ngelus dada. Indonesia lg berduka, kok tega2nya yah mereka dzolimin rakyat trs. Ingin skli aku berkata2 kasar pada mereka",0
2025-12-10T14:28:01,2025-12-07T20:56:59,hendry_bintang,,0
2025-12-10T14:28:01,2025-12-07T20:56:55,yuni3433,Kowe kapan matine @bahlillahadalia ?,0
2025-12-10T14:28:01,2025-12-07T20:56:25,indrarmt,"Detik"" menuju kehancuran",0
2025-12-10T14:28:01,2025-12-07T20:56:06,budidcaptain,KontoI,0
2025-12-10T14:28:01,2025-12-07T20:55:15,azukayuukanna,@bahlillahadalia  kntl kamu,0
2025-12-10T14:28:01,2025-12-07T20:55:00,aldimuhamaad,Kacau balau negaraku ini,0
2025-12-10T14:28:01,2025-12-07T20:54:22,irwan29syah84,Perlu di nepalkan nih goblin.,0
2025-12-10T14:28:01,2025-12-07T20:54:13,novarrahadyanadhiasa,Biar gampang di otak atik 🤭🤣,0
2025-12-10T14:28:01,2025-12-07T20:52:19,f.ramadhaniiiiii,makin menjadi-jadi lah kelen jir,0
2025-12-10T14:28:01,2025-12-07T20:50:03,arief.squarehead,Yg tau rumahnya Bahlil coba sih tolong dirubuhin aja greget bgt aing,0
2025-12-10T14:28:01,2025-12-07T20:50:02,asaa_drhmn,ashu pancen,0
2025-12-10T14:28:01,2025-12-07T20:48:55,traviss4100,"siapa yang bisa kirim dia cepet menghadap tuhan,, gua ada 100 rb pertama,, sewa petrus ge gpp",0
2025-12-10T14:28:01,2025-12-07T20:48:48,turahute,Anda yg janagn bertele dalam urusan menangani bencana,0
2025-12-10T14:28:01,2025-12-07T20:48:23,riz_fen98,Bahlil b nya apa ?,0
2025-12-10T14:28:01,2025-12-07T20:48:06,tengkunaf,Tapi gantinya rakyat bisa mencopot para pejabat secara langsung,0
2025-12-10T14:28:01,2025-12-07T20:48:02,k.heri14,Kerja banyak usul + ga guna ya gitu,0
2025-12-10T14:28:01,2025-12-07T20:47:34,yymr19,Enak aje lu,0
2025-12-10T14:28:01,2025-12-07T20:47:32,kubiqa_990,Stupid🔥,0
2025-12-10T14:28:01,2025-12-07T20:47:19,sprinsprin_,Jembutmu kui 😭,0
2025-12-10T14:28:01,2025-12-07T20:46:23,3sugg,Kntl,0
2025-12-10T14:28:01,2025-12-07T20:46:08,yudha_wahyu21,buat lu . buat lu negara ini lul . terserah lu mo gimana . udh di titik teserah,0
2025-12-10T14:28:01,2025-12-07T20:45:02,_dhrmr,Bahlil anjg,0
2025-12-10T14:28:01,2025-12-07T20:44:44,wannabe8887,Prabowo kayak nya mau ngikutin jejak soeharto,0
